id_proposicao,codTema,tema,relevancia
2268424,34,Administração Pública,0
2268424,56,Saúde,0
2184458,34,Administração Pública,0
946514,72,Homenagens e Datas Comemorativas,0
2268423,56,Saúde,0
540979,48,Meio Ambiente e Desenvolvimento Sustentável,0
2158510,42,Direito Civil e Processual Civil,0
498347,61,"Viação, Transporte e Mobilidade",0
2268421,57,Defesa e Segurança,0
459323,44,Direitos Humanos e Minorias,0
459323,58,Trabalho e Emprego,0
2268422,56,Saúde,0
1301128,43,Direito Penal e Processual Penal,0
2268425,40,Economia,0
1555470,40,Economia,0
2268432,34,Administração Pública,0
2268432,57,Defesa e Segurança,0
2268433,34,Administração Pública,0
2268433,57,Defesa e Segurança,0
2268429,34,Administração Pública,0
2268429,56,Saúde,0
2268435,57,Defesa e Segurança,0
2268437,58,Trabalho e Emprego,0
2268440,70,Finanças Públicas e Orçamento,0
2268440,66,"Indústria, Comércio e Serviços",0
2268438,34,Administração Pública,0
2268438,40,Economia,0
2268451,46,Educação,0
2268431,64,"Agricultura, Pecuária, Pesca e Extrativismo",0
2268431,51,Estrutura Fundiária,0
2268439,40,Economia,0
2268439,66,"Indústria, Comércio e Serviços",0
2268439,58,Trabalho e Emprego,0
2268436,34,Administração Pública,0
2268446,56,Saúde,0
2268452,56,Saúde,0
2268444,40,Economia,0
2268444,70,Finanças Públicas e Orçamento,0
2268444,66,"Indústria, Comércio e Serviços",0
2268450,46,Educação,0
2268454,56,Saúde,0
2268445,34,Administração Pública,0
2268445,40,Economia,0
2268456,57,Defesa e Segurança,0
2268448,56,Saúde,0
2268447,34,Administração Pública,0
2268447,41,Cidades e Desenvolvimento Urbano,0
2268458,67,Direito e Defesa do Consumidor,0
2268458,56,Saúde,0
2268453,61,"Viação, Transporte e Mobilidade",0
2268459,44,Direitos Humanos e Minorias,0
2268459,52,Previdência e Assistência Social,0
2268455,34,Administração Pública,0
2268455,40,Economia,0
2268460,34,Administração Pública,0
2268460,40,Economia,0
2268460,58,Trabalho e Emprego,0
2268457,56,Saúde,0
2268461,34,Administração Pública,0
2268461,40,Economia,0
2268461,58,Trabalho e Emprego,0
2268468,67,Direito e Defesa do Consumidor,0
2268468,56,Saúde,0
2268475,56,Saúde,0
2268470,56,Saúde,0
2268469,46,Educação,0
2268481,46,Educação,0
2268471,56,Saúde,0
2268476,56,Saúde,0
2268478,56,Saúde,0
2268483,56,Saúde,0
2268474,46,Educação,0
2268477,34,Administração Pública,0
2268482,56,Saúde,0
2268484,41,Cidades e Desenvolvimento Urbano,0
2268484,52,Previdência e Assistência Social,0
2268494,57,Defesa e Segurança,0
2268486,41,Cidades e Desenvolvimento Urbano,0
