id_votacao,sigla_partido,orientacao
1555470-234,PDT,Não
1555470-234,PSC,Não
1555470-234,REPUBLICANOS,Não
1555470-234,PSB,Não
1555470-234,PTB,Não
1555470-234,PL,Não
1555470-234,PODE,Não
1555470-234,NOVO,Sim
1555470-234,SOLIDARIEDADE,Não
1555470-234,DEM,Não
1555470-234,PSDB,Sim
1555470-234,PCdoB,Não
1555470-234,PSD,Não
1555470-234,REDE,Não
1555470-234,Maioria,Não
1555470-234,Minoria,Não
1555470-234,Oposição,Não
1555470-234,PATRIOTA,Não
1555470-234,PV,Não
1555470-234,PT,Não
1555470-234,PSL,Não
1555470-234,PROS,Não
1555470-234,MDB,Não
1555470-234,AVANTE,Não
1555470-234,PP,Não
1555470-234,PSOL,Não
1555470-234,Governo,Não
1555470-234,CIDADANIA,Não
1555470-319,Governo,Não
1555470-319,NOVO,Não
1555470-319,Maioria,Não
1555470-319,UNIÃO,Não
1555470-319,Oposição,
1555470-319,MDB,Sim
1555470-319,PCdoB,Sim
1555470-319,AVANTE,Não
1555470-319,PT,Liberado
1555470-319,REPUBLICANOS,Sim
1555470-319,PP,Não
1555470-319,PL,Sim
1555470-319,PATRIOTA,Não
1555470-319,PSOL,Sim
1555470-319,PV,
1555470-319,PSD,Não
1555470-319,PSDB,Sim
1555470-319,PROS,Não
1555470-319,REDE,Sim
1555470-319,Minoria,
1555470-319,PSB,Não
1555470-319,PTB,Não
1555470-319,PODE,Não
1555470-319,CIDADANIA,
1555470-319,SOLIDARIEDADE,Não
1555470-319,PSC,Não
1555470-319,PDT,Não
498347-156,Minoria,Não
498347-156,PP,Sim
498347-156,PCdoB,Não
498347-156,DEM,Sim
498347-156,SOLIDARIEDADE,Sim
498347-156,PSB,Não
498347-156,Maioria,Sim
498347-156,PSDB,Sim
498347-156,PSOL,Não
498347-156,NOVO,Sim
498347-156,PATRIOTA,Sim
498347-156,PSC,Sim
498347-156,CIDADANIA,Sim
498347-156,Governo,Sim
498347-156,REDE,Não
498347-156,PDT,Não
498347-156,PROS,Sim
498347-156,MDB,Sim
498347-156,PSL,Sim
498347-156,PL,Sim
498347-156,REPUBLICANOS,Sim
498347-156,PV,Sim
498347-156,PT,Não
498347-156,PODE,Sim
498347-156,PSD,Sim
498347-156,PTB,Sim
498347-156,AVANTE,Sim
1301128-43,PATRIOTA,
1301128-43,PODE,
1301128-43,PSB,Sim
1301128-43,Oposição,Sim
1301128-43,PDT,Sim
1301128-43,REDE,Sim
1301128-43,CIDADANIA,Sim
1301128-43,SOLIDARIEDADE,
1301128-43,PT,Sim
1301128-43,DEM,Sim
1301128-43,PL,Sim
1301128-43,Maioria,
1301128-43,PSDB,Sim
1301128-43,REPUBLICANOS,Sim
1301128-43,PP,Sim
1301128-43,PTB,
1301128-43,PROS,
1301128-43,PV,Sim
1301128-43,Minoria,Sim
1301128-43,PSL,Sim
1301128-43,PCdoB,Sim
1301128-43,NOVO,Não
1301128-43,Governo,
1301128-43,PSD,Sim
1301128-43,PSC,
1301128-43,MDB,Sim
1301128-43,AVANTE,
1301128-43,PSOL,Sim
2184458-115,PL,Não
2184458-115,PROS,
2184458-115,PDT,Sim
2184458-115,Maioria,Não
2184458-115,PATRIOTA,
2184458-115,PV,Liberado
2184458-115,PP,Não
2184458-115,SOLIDARIEDADE,Não
2184458-115,PSC,Sim
2184458-115,PT,Não
2184458-115,PODE,Sim
2184458-115,DEM,
2184458-115,PSL,Não
2184458-115,PSDB,Não
2184458-115,PSB,Sim
2184458-115,MDB,Não
2184458-115,Oposição,Liberado
2184458-115,AVANTE,
2184458-115,Governo,Sim
2184458-115,PTB,Sim
2184458-115,NOVO,Sim
2184458-115,CIDADANIA,Não
2184458-115,Minoria,Liberado
2184458-115,PSOL,Sim
2184458-115,PSD,Não
2184458-115,REPUBLICANOS,Não
2184458-115,PCdoB,Não
2184458-115,REDE,Sim
2184458-161,PSC,Não
2184458-161,Oposição,
2184458-161,Maioria,Não
2184458-161,PL,Não
2184458-161,PTB,Não
2184458-161,NOVO,Sim
2184458-161,PP,Não
2184458-161,PSOL,Sim
2184458-161,PODE,Sim
2184458-161,PATRIOTA,Não
2184458-161,Governo,
2184458-161,PT,Não
2184458-161,AVANTE,Não
2184458-161,MDB,Não
2184458-161,Minoria,Não
2184458-161,PSDB,Não
2184458-161,PCdoB,
2184458-161,PSB,Não
2184458-161,SOLIDARIEDADE,Não
2184458-161,PSL,Não
2184458-161,PROS,Não
2184458-161,CIDADANIA,Não
2184458-161,DEM,Não
2184458-161,REDE,
2184458-161,PV,
2184458-161,PDT,Não
2184458-161,PSD,Não
2184458-161,REPUBLICANOS,Não
2184458-106,Maioria,
2184458-106,PL,Não
2184458-106,NOVO,Sim
2184458-106,Governo,Não
2184458-106,PV,
2184458-106,REDE,Não
2184458-106,MDB,Não
2184458-106,CIDADANIA,Não
2184458-106,PSL,Não
2184458-106,Minoria,Não
2184458-106,PSB,Não
2184458-106,PCdoB,Não
2184458-106,PDT,Não
2184458-106,PATRIOTA,
2184458-106,PSDB,Não
2184458-106,PSC,Não
2184458-106,SOLIDARIEDADE,
2184458-106,PSOL,Não
2184458-106,PP,Não
2184458-106,REPUBLICANOS,Não
2184458-106,DEM,Não
2184458-106,AVANTE,
2184458-106,PROS,Não
2184458-106,PT,Não
2184458-106,PODE,Sim
2184458-106,PTB,Não
2184458-106,PSD,Não
2184458-106,Oposição,
2286932-7,DEM,Sim
2286932-7,PSB,Sim
2286932-7,PSL,Sim
2286932-7,MDB,Sim
2286932-7,PSDB,Sim
2286932-7,PT,Sim
2286932-7,PTB,Sim
2286932-7,REDE,Sim
2286932-7,PODE,Sim
2286932-7,PSD,Sim
2286932-7,PP,Sim
2286932-7,CIDADANIA,Sim
2286932-7,PCdoB,Sim
2286932-7,Governo,Sim
2286932-7,Minoria,
2286932-7,SOLIDARIEDADE,Sim
2286932-7,NOVO,Não
2286932-7,PSOL,Não
2286932-7,PROS,Sim
2286932-7,PL,Sim
2286932-7,Oposição,
2286932-7,REPUBLICANOS,Sim
2286932-7,AVANTE,Sim
2286932-7,PATRIOTA,Sim
2286932-7,PV,Sim
2286932-7,PDT,Sim
2286932-7,PSC,Sim
2286932-7,Maioria,Sim
2184458-92,PSDB,Não
2184458-92,PROS,
2184458-92,Oposição,Liberado
2184458-92,CIDADANIA,Não
2184458-92,AVANTE,
2184458-92,NOVO,Sim
2184458-92,Governo,Não
2184458-92,PT,Não
2184458-92,DEM,
2184458-92,REDE,Não
2184458-92,PSB,Não
2184458-92,PATRIOTA,
2184458-92,PDT,Não
2184458-92,REPUBLICANOS,Não
2184458-92,PSOL,Sim
2184458-92,PSL,Não
2184458-92,MDB,Não
2184458-92,PTB,
2184458-92,SOLIDARIEDADE,
2184458-92,PCdoB,Não
2184458-92,PSC,
2184458-92,PODE,Sim
2184458-92,PSD,Não
2184458-92,Minoria,Liberado
2184458-92,PP,Não
2184458-92,PV,Não
2184458-92,Maioria,Não
2184458-92,PL,Não
2184458-127,SOLIDARIEDADE,Sim
2184458-127,Minoria,Sim
2184458-127,Maioria,Sim
2184458-127,AVANTE,Sim
2184458-127,CIDADANIA,Não
2184458-127,DEM,Sim
2184458-127,PROS,Sim
2184458-127,PV,Sim
2184458-127,PSDB,Sim
2184458-127,PSL,Não
2184458-127,PP,Sim
2184458-127,PSD,Sim
2184458-127,PTB,Sim
2184458-127,NOVO,Não
2184458-127,Governo,Sim
2184458-127,REDE,Sim
2184458-127,PODE,Não
2184458-127,PSC,Sim
2184458-127,PSB,Sim
2184458-127,PL,Sim
2184458-127,Oposição,Sim
2184458-127,PDT,Sim
2184458-127,PT,Sim
2184458-127,REPUBLICANOS,Sim
2184458-127,PSOL,Sim
2184458-127,PCdoB,Sim
2184458-127,MDB,Sim
2184458-127,PATRIOTA,Sim
2184458-123,PSDB,Sim
2184458-123,REPUBLICANOS,Sim
2184458-123,PDT,Não
2184458-123,SOLIDARIEDADE,Sim
2184458-123,NOVO,Sim
2184458-123,PSOL,Não
2184458-123,PATRIOTA,Sim
2184458-123,PSL,Sim
2184458-123,PCdoB,Sim
2184458-123,PP,Sim
2184458-123,DEM,Sim
2184458-123,PSC,Sim
2184458-123,PTB,Sim
2184458-123,MDB,Sim
2184458-123,CIDADANIA,Sim
2184458-123,PT,Sim
2184458-123,Maioria,Sim
2184458-123,PSB,Sim
2184458-123,AVANTE,Sim
2184458-123,Minoria,Liberado
2184458-123,PL,Sim
2184458-123,PV,Sim
2184458-123,REDE,Não
2184458-123,PROS,Sim
2184458-123,Oposição,Liberado
2184458-123,PSD,Sim
2184458-123,Governo,Sim
2184458-123,PODE,Sim
2184458-184,PSC,Não
2184458-184,PDT,Sim
2184458-184,REDE,Sim
2184458-184,Maioria,
2184458-184,SOLIDARIEDADE,Sim
2184458-184,PSOL,Sim
2184458-184,PROS,
2184458-184,PSDB,Sim
2184458-184,PODE,Não
2184458-184,REPUBLICANOS,Sim
2184458-184,PV,
2184458-184,PSB,Sim
2184458-184,Minoria,
2184458-184,CIDADANIA,Não
2184458-184,Oposição,
2184458-184,PL,Sim
2184458-184,PP,Sim
2184458-184,PTB,
2184458-184,NOVO,Não
2184458-184,PSD,Sim
2184458-184,PATRIOTA,
2184458-184,PSL,Não
2184458-184,Governo,Liberado
2184458-184,PCdoB,
2184458-184,MDB,Sim
2184458-184,DEM,
2184458-184,PT,Sim
2184458-184,AVANTE,
2184458-131,DEM,Sim
2184458-131,PSOL,Sim
2184458-131,REPUBLICANOS,Sim
2184458-131,PSC,Sim
2184458-131,SOLIDARIEDADE,Sim
2184458-131,PV,Sim
2184458-131,PATRIOTA,
2184458-131,PTB,Sim
2184458-131,PL,Sim
2184458-131,PP,Sim
2184458-131,PT,Sim
2184458-131,PSDB,Sim
2184458-131,Maioria,
2184458-131,PSB,Sim
2184458-131,PCdoB,Sim
2184458-131,PSL,Não
2184458-131,MDB,Sim
2184458-131,NOVO,Não
2184458-131,Oposição,Liberado
2184458-131,AVANTE,
2184458-131,REDE,Sim
2184458-131,PDT,Não
