id_votacao,sigla_partido,orientacao
2053152-54,PSB,Sim
2053152-54,PSDB,Sim
2053152-54,PDT,Sim
2053152-54,PSD,Sim
2053152-54,DEM,Sim
2053152-54,PPS,Sim
2053152-54,PP**,Não
2053152-54,PMDB,Não
2053152-54,PT,Obstrução
2053152-54,PROS,Não
2313781-85,Minoria,Sim
2313781-85,PSC,Não
2313781-85,Oposição,Sim
2313781-85,PT,Sim
2313781-85,PCdoB,Sim
2313781-85,PL,Não
2313781-85,Maioria,Não
2313781-85,CIDADANIA,
2313781-85,REPUBLICANOS,Não
2313781-85,PSDB,Não
2313781-85,PODE,Não
2313781-85,PSOL,Sim
2313781-85,PDT,Sim
2313781-85,PTB,Não
2313781-85,PSD,Não
2313781-85,REDE,Sim
2313781-85,MDB,Não
2313781-85,AVANTE,Não
2313781-85,PROS,Não
2313781-85,SOLIDARIEDADE,Não
2313781-85,PATRIOTA,Não
2313781-85,UNIÃO,Não
2313781-85,NOVO,Não
2313781-85,PP,Não
2313781-85,PV,Sim
2313781-85,Governo,Não
2313781-85,PSB,Sim
2313781-88,NOVO,Não
2313781-88,PATRIOTA,Não
2313781-88,PSOL,Sim
2313781-88,PL,Não
2313781-88,PSC,Não
2313781-88,PTB,Não
2313781-88,Maioria,Não
2313781-88,PSB,Sim
2313781-88,PODE,Não
2313781-88,REDE,Sim
2313781-88,REPUBLICANOS,Não
2313781-88,CIDADANIA,
2313781-88,PV,Sim
2313781-88,PCdoB,
2313781-88,PT,Sim
2313781-88,PSD,Não
2313781-88,PDT,Sim
2313781-88,Minoria,Sim
2313781-88,Oposição,Sim
2313781-88,PP,Não
2313781-88,SOLIDARIEDADE,Não
2313781-88,UNIÃO,Não
2313781-88,Governo,Não
2313781-88,PSDB,Não
2313781-88,AVANTE,Não
2313781-88,PROS,Não
2313781-88,MDB,Não
2313781-74,PSDB,Sim
2313781-74,PSD,Não
2313781-74,PSB,Sim
2313781-74,PP,Não
2313781-74,PT,Sim
2313781-74,PL,Não
2313781-74,Governo,Não
2313781-74,MDB,Não
2313781-74,SOLIDARIEDADE,Não
2313781-74,CIDADANIA,
2313781-74,PDT,Sim
2313781-74,UNIÃO,Não
2313781-74,PODE,Não
2313781-74,Oposição,Sim
2313781-74,PV,Sim
2313781-74,REPUBLICANOS,Não
2313781-74,PSC,Não
2313781-74,PROS,Não
2313781-74,PTB,Não
2313781-74,PATRIOTA,Não
