id_votacao,data,data_hora_registro,sigla_orgao,proposicaoObjeto,descricao,aprovacao,id_proposicao
501638-150,2021-06-30,2021-06-30T12:50:16,CSAUDE,,Aprovado o Parecer.,1.0,501638
501638-140,2021-04-08,2021-04-08T10:46:03,CIDOSO,,Aprovado o Parecer da Deputada Leandre ( PV-PR). Lido pelo Deputado Ossesio Silva (Republicanos -PE).,1.0,501638
501638-119,2018-12-12,2018-12-12T10:56:46,CCJC,,Aprovada a Redação Final.,1.0,501638
501638-104,2018-11-07,2018-11-07T11:14:59,CCJC,,Aprovado o Parecer.,1.0,501638
501638-91,2018-04-18,2018-04-18T12:32:57,CSAUDE,,Aprovado por Unanimidade o Parecer.,1.0,501638
501638-74,2017-08-16,2017-08-16T15:05:54,CIDOSO,,Aprovado por Unanimidade o Parecer.,1.0,501638
317970-123,2015-10-20,2015-10-20T15:16:34,CCJC,,Aprovada a Redação Final.,1.0,317970
317970-110,2015-09-22,2015-09-22T16:19:42,CCJC,,Aprovado o Parecer.,1.0,317970
317970-78,2009-06-10,2009-06-10T11:01:16,CTRAB,,Aprovado por Unanimidade o Parecer.,1.0,317970
317970-30,2007-06-20,2007-06-20T12:01:07,CFT,,Aprovado por Unanimidade o Parecer,1.0,317970
427339-95,2019-08-14,2019-08-14T11:18:54,CDE,,Aprovado o Parecer.,1.0,427339
427339-74,2015-07-14,2015-07-14T15:05:30,CCJC,,Aprovada a Redação Final.,1.0,427339
427339-59,2015-06-17,2015-06-17T11:36:30,CCJC,,Aprovado o Parecer.,1.0,427339
427339-29,2009-08-12,2009-08-12T12:00:48,CDE,,Aprovado por Unanimidade o Parecer.,1.0,427339
512431-110,2021-09-22,2021-09-22T10:32:42,CCTI,,"Aprovado o Parecer, contra o voto do deputado Vinicius Poit.",1.0,512431
512431-100,2019-07-03,2019-07-03T10:47:36,CDC,,Aprovado o Parecer.,1.0,512431
512431-79,2017-04-04,2017-04-04T15:06:03,CCJC,,Aprovada a Redação Final.,1.0,512431
512431-64,2016-11-30,2016-11-30T14:11:27,CCJC,,Aprovado o Parecer.,1.0,512431
512431-29,2011-12-07,2011-12-07T13:35:59,CCTI,,Aprovado por Unanimidade o Parecer.,1.0,512431
549767-197,2024-10-16,2024-10-16T10:50:51,CCJC,,Aprovado o Parecer.,1.0,549767
549767-185,2023-12-13,2023-12-13T10:51:07,CE,,Aprovado o Parecer.,1.0,549767
549767-174,2023-08-16,2023-08-16T15:36:14,CESPO,,Aprovado o Parecer.,1.0,549767
549767-159,2023-05-30,2023-05-30T15:22:22,CPD,,Aprovado o Parecer.,1.0,549767
549767-139,2019-08-13,2019-08-13T14:49:41,CCJC,,Aprovada a Redação Final.,1.0,549767
549767-124,2019-06-17,2019-06-17T15:34:41,CCJC,,Aprovado o Parecer.,1.0,549767
549767-91,2015-08-26,2015-08-26T13:32:27,CE,,Aprovado o Parecer do Deputado Wilson Filho.,1.0,549767
549767-26,2012-11-13,2012-11-13T17:02:57,CTUR,,"Aprovado o Parecer, lido pela Deputada Flávia Morais.",1.0,549767
530357-65,2025-04-09,2025-04-09T10:56:00,CDE,,Aprovado o Parecer.,1.0,530357
530357-33,2015-09-15,2015-09-15T15:01:12,CCJC,,Aprovada a Redação Final.,1.0,530357
308880-75,2013-03-19,2013-03-19T15:29:27,CCJC,,Aprovada a Redação Final.,1.0,308880
308880-60,2012-12-18,2012-12-18T16:00:54,CCJC,,Aprovado o Parecer.,1.0,308880
546470-5,2012-06-14,2012-06-14T10:48:36,CCJC,REQ 83/2012 CCJC,Aprovado o requermento.,1.0,308880
308880-37,2009-08-12,2009-08-12T13:46:39,CFT,,Aprovado por Unanimidade o Parecer.,1.0,308880
602764-131,2023-10-04,2023-10-04T19:47:00,PLEN,,"Aprovada a Redação Final assinada pelo Relator, Dep. José Guimarães (PT-CE).",1.0,602764
602764-129,2023-10-04,2023-10-04T19:46:35,PLEN,,"Aprovadas as Emendas do Senado Federal nºs 1 e 2 ao Projeto de Lei nº 6.858-C, de 2013.",1.0,602764
602764-117,2023-10-03,2023-10-03T18:32:21,PLEN,,"Rejeitado o Requerimento do Dep. Gilson Marques, que solicita que a pauta da presente Sessão seja apreciada na seguinte ordem: 1. PL 3525/2019; 2. PL 4426/2023; 3. PL 4188/2021; e 4. PL 5497/2019. Sim: 10; não: 243; abstenção: 4; total: 257.",0.0,602764
602764-112,2023-09-19,2023-09-19T19:10:39,PLEN,,Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 2461/2023.,1.0,602764
602764-111,2023-09-19,2023-09-19T19:10:39,SECAP(SGM),,"Realizar o encaminhamento do PL-3525/2019 (Nº Anterior: PL 6858/2013) à CSAUDE (tramitação simultânea), em razão da aprovação de requerimento de urgência.",1.0,602764
