id_proposicao,codTema,tema,relevancia
485381,35,"Arte, Cultura e Religião",0
427339,66,"Indústria, Comércio e Serviços",0
549767,39,Esporte e Lazer,0
549767,46,Educação,0
259111,43,Direito Penal e Processual Penal,0
539990,66,"Indústria, Comércio e Serviços",0
501638,44,Direitos Humanos e Minorias,0
530357,67,Direito e Defesa do Consumidor,0
308880,40,Economia,0
946475,34,Administração Pública,0
946475,48,Meio Ambiente e Desenvolvimento Sustentável,0
614512,70,Finanças Públicas e Orçamento,0
317970,34,Administração Pública,0
1212501,56,Saúde,0
512431,37,Comunicações,0
1299572,64,"Agricultura, Pecuária, Pesca e Extrativismo",0
1299572,44,Direitos Humanos e Minorias,0
1299572,58,Trabalho e Emprego,0
538196,56,Saúde,0
2057848,44,Direitos Humanos e Minorias,0
2057848,56,Saúde,0
2057934,72,Homenagens e Datas Comemorativas,0
2057934,56,Saúde,0
559138,40,Economia,0
2076875,35,"Arte, Cultura e Religião",0
601739,42,Direito Civil e Processual Civil,0
601739,48,Meio Ambiente e Desenvolvimento Sustentável,0
2077748,44,Direitos Humanos e Minorias,0
602764,56,Saúde,0
2078423,34,Administração Pública,0
2078423,64,"Agricultura, Pecuária, Pesca e Extrativismo",0
944305,44,Direitos Humanos e Minorias,0
944305,56,Saúde,0
2111588,42,Direito Civil e Processual Civil,0
2111588,70,Finanças Públicas e Orçamento,0
1299577,64,"Agricultura, Pecuária, Pesca e Extrativismo",0
2139096,44,Direitos Humanos e Minorias,0
2139096,72,Homenagens e Datas Comemorativas,0
2139046,44,Direitos Humanos e Minorias,0
2139046,56,Saúde,0
1555295,70,Finanças Públicas e Orçamento,0
2142126,43,Direito Penal e Processual Penal,0
1594637,35,"Arte, Cultura e Religião",0
1594637,46,Educação,0
2144995,72,Homenagens e Datas Comemorativas,0
2144995,56,Saúde,0
1672576,61,"Viação, Transporte e Mobilidade",0
2160480,34,Administração Pública,0
2160480,44,Direitos Humanos e Minorias,0
2080604,34,Administração Pública,0
2080604,42,Direito Civil e Processual Civil,0
2080604,43,Direito Penal e Processual Penal,0
2080604,74,"Política, Partidos e Eleições",0
2190288,34,Administração Pública,0
2128133,37,Comunicações,0
2128133,44,Direitos Humanos e Minorias,0
2190311,56,Saúde,0
2131057,42,Direito Civil e Processual Civil,0
2190313,44,Direitos Humanos e Minorias,0
2140342,48,Meio Ambiente e Desenvolvimento Sustentável,0
2190325,46,Educação,0
2151691,44,Direitos Humanos e Minorias,0
2151691,46,Educação,0
2167716,46,Educação,0
2190348,67,Direito e Defesa do Consumidor,0
2190348,54,"Energia, Recursos Hídricos e Minerais",0
2168710,46,Educação,0
2190353,57,Defesa e Segurança,0
2168756,44,Direitos Humanos e Minorias,0
2190350,34,Administração Pública,0
2190350,61,"Viação, Transporte e Mobilidade",0
2187087,34,Administração Pública,0
2187087,74,"Política, Partidos e Eleições",0
2190357,61,"Viação, Transporte e Mobilidade",0
