id_votacao,data,data_hora_registro,sigla_orgao,proposicaoObjeto,descricao,aprovacao,id_proposicao
2116186-84,2024-08-14,2024-08-14T12:43:22,CSAUDE,,Aprovado o Parecer.,1.0,2116186
2116186-58,2018-10-17,2018-10-17T11:01:44,CCJC,,Aprovada a Redação Final.,1.0,2116186
2116186-43,2018-07-10,2018-07-10T17:41:57,CCJC,,Aprovado o Parecer.,1.0,2116186
2116186-30,2017-09-27,2017-09-27T11:13:40,CSAUDE,,Aprovado por Unanimidade o Parecer.,1.0,2116186
2236223-40,2020-05-21,2020-05-21T23:03:34,PLEN,,"Aprovada a Redação Final assinada pelo Relator, Dep. Aluisio Mendes (PSC-MA).",1.0,2236223
2236223-38,2020-05-21,2020-05-21T23:02:27,PLEN,,"Aprovada a Medida Provisória nº 918, de 2020, em seu texto original, tendo em vista a decisão da presidência que considerou como não escritos os arts 4º e 5 do Projeto de Lei de Conversão.",1.0,2236223
2236223-36,2020-05-21,2020-05-21T23:00:21,PLEN,,"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião pelo não atendimento dos pressupostos constitucionais de relevância e urgência e pela inadequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",1.0,2236223
2236223-35,2020-05-21,2020-05-21T22:59:57,PLEN,,"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",1.0,2236223
593065-305,2021-03-16,2021-03-17T00:46:12,PLEN,,Rejeitada a Emenda nº 9 do Senado Federal. Sim: 105; não: 326; total: 431.,0.0,593065
593065-301,2021-03-16,2021-03-17T00:17:46,PLEN,,Rejeitada a Emenda nº 7 do Senado Federal.,0.0,593065
593065-298,2021-03-16,2021-03-16T23:56:24,PLEN,,Rejeitada a Emenda nº 6 do Senado Federal.,0.0,593065
593065-295,2021-03-16,2021-03-16T23:45:55,PLEN,,Rejeitada a Emenda nº 3 do Senado Federal.,0.0,593065
593065-291,2021-03-16,2021-03-16T23:34:04,PLEN,,Rejeitada a Emenda nº 1 do Senado Federal. Sim: 115; não: 335; abstenção: 1; total: 451.,0.0,593065
593065-287,2021-03-16,2021-03-16T23:11:28,PLEN,,"Rejeitadas as Emendas do Senado Federal ao Projeto de Lei nº 6.407-B, de 2013, ressalvados os Destaques.",0.0,593065
