id_votacao,data,data_hora_registro,sigla_orgao,proposicaoObjeto,descricao,aprovacao,id_proposicao
1555470-325,2022-11-29,2022-11-29T20:20:39,PLEN,,"Aprovada a Redação Final assinada pelo Relator, Dep. Expedito Netto (PSD-RO).",1.0,1555470
1555470-323,2022-11-29,2022-11-29T20:19:42,PLEN,,Suprimido o texto.,,1555470
1555470-319,2022-11-29,2022-11-29T20:12:34,PLEN,,Suprimido o texto. Sim: 152; não: 213; total: 365.,,1555470
1555470-307,2022-11-29,2022-11-29T19:44:59,PLEN,,Suprimido o texto.,,1555470
1555470-304,2022-11-29,2022-11-29T19:25:22,PLEN,,"Rejeitadas as alterações nos incisos III e IV do artigo 3º, assim como a inclusão de novo parágrafo naquele artigo; a inclusão do inciso II no artigo 4º e a redação do inciso VIII (renumeração do inciso VII aprovado pela Câmara dos Deputados, cujo texto deve ser mantido); a modificação do art. 7º (com o restabelecimento do art. 7º, aprovado pela Câmara dos Deputados); a inclusão do parágrafo único no artigo 9º; as alterações no artigo 10; a inclusão de parágrafos no novo artigo 13, mantendo o caput; e a redação da cláusula de vigência, devendo ser mantida a aprovada pela Câmara dos Deputados, ressalvados os destaques.",0.0,1555470
1555470-302,2022-11-29,2022-11-29T19:24:09,PLEN,,"Aprovado o Substitutivo do Senado Federal ao Projeto de Lei nº 4.401, de 2021, com exceção das seguintes modificações: alterações nos incisos III e IV do artigo 3º, assim como a inclusão de novo parágrafo naquele artigo; inclusão do inciso II no artigo 4º e a redação do inciso VIII (renumeração do inciso VII aprovado pela Câmara dos Deputados, cujo texto deve ser mantido); modificação do art. 7º (com o restabelecimento do art. 7º, aprovado pela Câmara dos Deputados); inclusão do parágrafo único no artigo 9º; alterações no artigo 10; inclusão de parágrafos no novo artigo 13, mantendo o caput; e redação da cláusula de vigência, devendo ser mantida a aprovada pela Câmara dos Deputados, ressalvados os destaques.",1.0,1555470
1555470-246,2021-12-08,2021-12-08T23:16:53,PLEN,,"Aprovada a Redação Final assinada pelo Relator, Dep. Expedito Netto (PSD-RO).",1.0,1555470
1555470-244,2021-12-08,2021-12-08T23:16:05,PLEN,,Mantido o texto.,,1555470
1555470-240,2021-12-08,2021-12-08T23:12:39,PLEN,,"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei nº 2.303, de 2015, adotada pelo Relator da Comissão Especial, ressalvados os destaques.",1.0,1555470
1555470-234,2021-12-08,2021-12-08T22:57:18,PLEN,,Rejeitado o Requerimento. Sim: 40; não: 308; total: 348.,0.0,1555470
2309904-7,2021-12-08,2021-12-08T16:29:34,PLEN,REQ 2599/2021,Aprovado o Requerimento de Urgência (Art. 155 do RICD).,1.0,1555470
1555470-210,2021-09-29,2021-09-29T15:10:51,PL230315,,Aprovado o Parecer.,1.0,1555470
2284490-2,2021-05-26,2021-05-26T15:02:30,PL230315,REQ 1/2021 PL230315,Aprovado.,1.0,1555470
2236758-2,2021-05-26,2021-05-26T15:02:30,PL230315,REQ 1/2020 PL230315,Aprovado.,1.0,1555470
2231820-2,2021-05-26,2021-05-26T15:02:30,PL230315,REQ 40/2019 PL230315,Aprovado.,1.0,1555470
2214865-3,2021-05-26,2021-05-26T15:02:29,PL230315,REQ 6/2019 PL230315,Aprovado.,1.0,1555470
2229045-2,2019-12-04,2019-12-04T15:23:57,PL230315,REQ 39/2019 PL230315,Aprovado,1.0,1555470
2228947-2,2019-12-04,2019-12-04T15:23:28,PL230315,REQ 38/2019 PL230315,Aprovado,1.0,1555470
2224246-2,2019-10-09,2019-10-09T16:38:42,PL230315,REQ 37/2019 PL230315,Aprovado,1.0,1555470
2223853-2,2019-10-09,2019-10-09T16:37:53,PL230315,REQ 36/2019 PL230315,Aprovado,1.0,1555470
2223850-2,2019-10-09,2019-10-09T16:37:00,PL230315,REQ 35/2019 PL230315,Aprovado,1.0,1555470
2223848-2,2019-10-09,2019-10-09T16:36:15,PL230315,REQ 34/2019 PL230315,Aprovado,1.0,1555470
2223845-2,2019-10-09,2019-10-09T16:35:38,PL230315,REQ 33/2019 PL230315,Aprovado,1.0,1555470
2223841-2,2019-10-09,2019-10-09T16:35:00,PL230315,REQ 32/2019 PL230315,Aprovado,1.0,1555470
2223837-2,2019-10-09,2019-10-09T16:34:29,PL230315,REQ 31/2019 PL230315,Aprovado,1.0,1555470
2223834-2,2019-10-09,2019-10-09T16:33:47,PL230315,REQ 30/2019 PL230315,Aprovado,1.0,1555470
2223830-2,2019-10-09,2019-10-09T16:33:00,PL230315,REQ 29/2019 PL230315,Aprovado,1.0,1555470
2223829-2,2019-10-09,2019-10-09T16:31:56,PL230315,REQ 28/2019 PL230315,Aprovado,1.0,1555470
2223828-2,2019-10-09,2019-10-09T16:31:01,PL230315,REQ 27/2019 PL230315,Aprovado,1.0,1555470
2223638-2,2019-10-09,2019-10-09T16:30:27,PL230315,REQ 26/2019 PL230315,Aprovado,1.0,1555470
2222729-2,2019-10-02,2019-10-02T15:44:27,PL230315,REQ 25/2019 PL230315,Aprovado.,1.0,1555470
2221535-2,2019-09-25,2019-09-25T16:04:09,PL230315,REQ 24/2019 PL230315,Aprovado,1.0,1555470
2220513-3,2019-09-25,2019-09-25T16:00:50,PL230315,REQ 23/2019 PL230315,Aprovado,1.0,1555470
2220509-2,2019-09-18,2019-09-18T17:31:26,PL230315,REQ 22/2019 PL230315,Aprovado.,1.0,1555470
2220246-2,2019-09-18,2019-09-18T17:30:50,PL230315,REQ 21/2019 PL230315,Aprovado.,1.0,1555470
2219170-2,2019-09-11,2019-09-11T15:51:40,PL230315,REQ 20/2019 PL230315,Aprovado,1.0,1555470
2219168-2,2019-09-11,2019-09-11T15:47:34,PL230315,REQ 19/2019 PL230315,Aprovado,1.0,1555470
2218767-2,2019-09-11,2019-09-11T15:45:43,PL230315,REQ 18/2019 PL230315,Aprovado,1.0,1555470
2218760-2,2019-09-11,2019-09-11T15:45:08,PL230315,REQ 17/2019 PL230315,Aprovado,1.0,1555470
2218162-2,2019-09-04,2019-09-04T15:13:06,PL230315,REQ 16/2019 PL230315,Aprovado,1.0,1555470
2217524-2,2019-09-04,2019-09-04T15:13:01,PL230315,REQ 15/2019 PL230315,Aprovado,1.0,1555470
2217375-3,2019-09-04,2019-09-04T15:12:55,PL230315,REQ 13/2019 PL230315,Aprovado,1.0,1555470
2217229-2,2019-08-28,2019-08-28T15:54:59,PL230315,REQ 12/2019 PL230315,Aprovado,1.0,1555470
2216219-2,2019-08-28,2019-08-28T15:52:49,PL230315,REQ 11/2019 PL230315,Aprovado,1.0,1555470
2216217-2,2019-08-28,2019-08-28T15:51:02,PL230315,REQ 10/2019 PL230315,"Aprovado, com a inclusão de convite ao Advogado e Professor Dr. Alexei Bonamin.",1.0,1555470
2216216-2,2019-08-28,2019-08-28T15:46:05,PL230315,REQ 9/2019 PL230315,"Aprovado, com a especificação do representante do Banco Central do Brasil, Sr. Aristides Andrade Cavalcanti - Chefe-Adjunto do Deinf/Bacen, e a inclusão de representantes da Federação Brasileira de Bancos - FEBRABAN; do Banco BITCOIN; da Associação Nacional de Peritos Criminais Federais - ANPCF; da NegocieCoins e da TemBTC.",1.0,1555470
2216215-2,2019-08-28,2019-08-28T15:39:09,PL230315,REQ 8/2019 PL230315,Aprovado,1.0,1555470
2216213-2,2019-08-28,2019-08-28T15:36:37,PL230315,REQ 7/2019 PL230315,Aprovado,1.0,1555470
2214648-2,2019-08-14,2019-08-14T15:29:44,PL230315,REQ 5/2019 PL230315,"Aprovado.
O requerimento foi subscrito pelo Deputado Aureo Ribeiro, Professor Israel Batista e Filipe Barros.",1.0,1555470
2214565-2,2019-08-14,2019-08-14T15:27:01,PL230315,REQ 4/2019 PL230315,"Aprovado com a inclusão dos nomes de Antônio Eduardo Gonçalves de Rueda, Presidente da Comissão de Criptomoedas e Blockchains da OAB, e de Daniel Homem de Carvalho, Secretário da Comissão Especial de Direito dos Jogos Esportivos, Lotéricos e Entretenimento da OAB.
Subscreveram o requerimento os Deputados Aureo Ribeiro, Celso Sabino e Luisa Canziani.",1.0,1555470
2214487-2,2019-08-14,2019-08-14T15:22:00,PL230315,REQ 3/2019 PL230315,"Aprovado.
O requerimento foi subscrito pelo Deputado Aureo Ribeiro.",1.0,1555470
2214446-2,2019-08-14,2019-08-14T15:16:55,PL230315,REQ 2/2019 PL230315,"Aprovado.
O requerimento foi subscrito pelos Deputados Professor Israel Batista e Filipe Barros.",1.0,1555470
2213529-2,2019-08-14,2019-08-14T15:14:31,PL230315,REQ 1/2019 PL230315,"Aprovado com a inclusão, pelo autor, dos nomes de Fernando de Magalhães Furlan, Presidente da Associação Brasileira de Criptoativos e Blockchain - ABCB e de Luiz Roberto Calado, Presidente da Associação Brasileira de Criptoeconomia - ABCripto.
O requerimento foi subscrito pelo Deputado Aureo Ribeiro.",1.0,1555470
2168380-2,2018-04-18,2018-04-18T12:49:29,PL230315,REQ 23/2018 PL230315,"Aprovado, subscrito pelo Deputado Marcelo Matos.",1.0,1555470
2168379-2,2018-04-18,2018-04-18T12:48:23,PL230315,REQ 22/2018 PL230315,Aprovado,1.0,1555470
2166802-3,2018-04-18,2018-04-18T12:47:24,PL230315,REQ 21/2017 PL230315,"Aprovado com a inclusão do nome do advogado Bruno Ferguson (presidente da Comissão de Startups da OAB do Rio de Janeiro), conforme proposto pelo Deputado Hugo Leal, que subscreveu o Requerimento.",1.0,1555470
2166442-4,2018-04-18,2018-04-18T12:45:15,PL230315,REQ 20/2017 PL230315,Aprovado,1.0,1555470
2163654-4,2018-04-18,2018-04-18T12:44:04,PL230315,REQ 19/2017 PL230315,Aprovado,1.0,1555470
2162852-4,2018-04-18,2018-04-18T12:43:14,PL230315,REQ 18/2017 PL230315,Aprovado,1.0,1555470
2162444-4,2018-04-18,2018-04-18T12:41:34,PL230315,REQ 17/2017 PL230315,"Aprovado,  subscrito pelo Deputado Marcelo Matos.",1.0,1555470
2158482-5,2018-04-18,2018-04-18T12:40:26,PL230315,REQ 16/2017 PL230315,Aprovado,1.0,1555470
2158479-5,2018-04-18,2018-04-18T12:39:14,PL230315,REQ 15/2017 PL230315,Aprovado,1.0,1555470
2153569-2,2017-10-10,2017-10-10T18:28:18,PL230315,REQ 14/2017 PL230315,Aprovado,1.0,1555470
2152857-3,2017-10-03,2017-10-03T12:48:03,PL230315,REQ 13/2017 PL230315,Aprovado com a subscrição do Dep. Alexandre Valle.,1.0,1555470
2151841-3,2017-10-03,2017-10-03T12:47:19,PL230315,REQ 12/2017 PL230315,Aprovado com a subscrição do Dep. Aureo.,1.0,1555470
2151639-3,2017-10-03,2017-10-03T12:46:41,PL230315,REQ 11/2017 PL230315,Aprovado,1.0,1555470
2150787-2,2017-09-13,2017-09-13T16:00:36,PL230315,REQ 10/2017 PL230315,Aprovado,1.0,1555470
2149158-2,2017-08-30,2017-08-30T17:11:11,PL230315,REQ 9/2017 PL230315,Aprovado,1.0,1555470
2148687-2,2017-08-30,2017-08-30T17:10:33,PL230315,REQ 8/2017 PL230315,Aprovado,1.0,1555470
2146883-2,2017-08-30,2017-08-30T17:09:33,PL230315,REQ 7/2017 PL230315,Aprovado,1.0,1555470
2143508-3,2017-07-12,2017-07-12T15:33:36,PL230315,REQ 6/2017 PL230315,"Aprovado, com a subscrição do Dep. Aureo.",1.0,1555470
2142104-3,2017-07-12,2017-07-12T15:29:06,PL230315,REQ 5/2017 PL230315,"Aprovado, com a subscrição do Dep. Wilson Beserra e com a inclusão do nome da Sra. Manuela de Carvalho Sanches, Diretora jurídica da Livelo, entre os convidados.",1.0,1555470
2142103-3,2017-07-12,2017-07-12T15:21:48,PL230315,REQ 4/2017 PL230315,Aprovado,1.0,1555470
2141244-3,2017-07-12,2017-07-12T15:17:15,PL230315,REQ 3/2017 PL230315,Aprovado,1.0,1555470
2140592-3,2017-07-12,2017-07-12T15:13:24,PL230315,REQ 2/2017 PL230315,"Aprovado, com inclusão do nome da Sra.Taynaah Reis, co-fundadora da ""Moeda"", entre os convidados.",1.0,1555470
2140054-2,2017-06-07,2017-06-07T15:53:02,PL230315,REQ 1/2017 PL230315,"Aprovado com a inclusão dos seguintes nomes: Fernando Ulrich, Economista e autor do livro ""Bitcoin - A Moeda da Era Digital""; e Marcos Henrique, sócio da FOXBIT.",1.0,1555470
498347-165,2021-05-06,2021-05-06T12:35:08,PLEN,,"Aprovada a Redação Final assinada pelo Relator, Dep. Gutemberg Reis (MDB-RJ).",1.0,498347
