id_votacao,sigla_partido,orientacao
946475-138,PODE,Obstrução
946475-138,CIDADANIA,Não
946475-138,REDE,Não
946475-138,PATRIOTA,Obstrução
946475-138,PSC,Obstrução
946475-138,PL,Obstrução
946475-138,PSDB,Não
946475-138,Governo,Liberado
946475-138,AVANTE,Obstrução
946475-138,PSOL,Não
946475-138,PV,Não
946475-138,MDB,Não
946475-138,PDT,Não
946475-138,PTB,Não
946475-138,PSD,Obstrução
946475-138,PP,Obstrução
946475-138,PT,Não
946475-138,DEM,Não
946475-138,SOLIDARIEDADE,Obstrução
946475-138,REPUBLICANOS,Obstrução
946475-138,PROS,Não
946475-138,NOVO,Não
946475-138,PCdoB,Não
946475-138,PSB,Não
946475-138,PSL,Não
946475-138,Minoria,Não
946475-131,PV,Sim
946475-131,PP,Obstrução
946475-131,PTB,Sim
946475-131,PROS,Sim
946475-131,CIDADANIA,Sim
946475-131,PATRIOTA,Obstrução
946475-131,NOVO,Sim
946475-131,PL,Obstrução
946475-131,MDB,Sim
946475-131,PSC,Obstrução
946475-131,SOLIDARIEDADE,Liberado
946475-131,PSOL,Sim
946475-131,PSD,Obstrução
946475-131,REPUBLICANOS,Obstrução
946475-131,PT,Sim
946475-131,PDT,Sim
946475-131,Governo,Liberado
946475-131,AVANTE,Obstrução
946475-131,PSB,Sim
946475-131,REDE,Sim
946475-131,PSL,Sim
946475-131,Minoria,Sim
946475-131,PSDB,Sim
946475-131,DEM,Sim
946475-131,PCdoB,Sim
946475-131,PODE,Obstrução
946475-129,PSL,Não
946475-129,PV,Não
946475-129,PSD,Obstrução
946475-129,REPUBLICANOS,Obstrução
946475-129,PP,Obstrução
946475-129,Governo,Não
946475-129,PODE,Não
946475-129,SOLIDARIEDADE,Obstrução
946475-129,PROS,Não
946475-129,CIDADANIA,Não
946475-129,Minoria,Não
946475-129,PSB,Não
946475-129,AVANTE,Obstrução
946475-129,PT,Não
946475-129,NOVO,Não
946475-129,PSOL,Não
946475-129,REDE,Não
946475-129,DEM,Não
946475-129,PL,Obstrução
946475-129,PSC,Obstrução
946475-129,PDT,Não
946475-129,PSDB,Não
946475-129,PTB,Não
946475-129,PCdoB,Não
946475-129,PATRIOTA,Obstrução
946475-127,PP,Obstrução
946475-127,PROS,Não
946475-127,PV,Não
946475-127,PSD,Obstrução
946475-127,NOVO,Não
946475-127,REPUBLICANOS,Obstrução
946475-127,PSL,Não
946475-127,PATRIOTA,Obstrução
946475-127,PSB,Não
946475-127,Minoria,Não
946475-127,MDB,Não
946475-127,DEM,Não
946475-127,CIDADANIA,Não
946475-127,PSOL,Não
946475-127,PL,Obstrução
946475-127,PTB,Não
946475-127,AVANTE,Obstrução
946475-127,PT,Não
946475-127,PODE,Não
946475-127,PSDB,Não
946475-127,REDE,Não
946475-127,PDT,Não
946475-127,SOLIDARIEDADE,Obstrução
946475-127,PCdoB,Não
946475-127,Governo,Não
946475-111,PDT,Não
946475-111,CIDADANIA,Não
946475-111,PSB,Não
946475-111,Governo,Não
946475-111,SOLIDARIEDADE,Obstrução
946475-111,PODE,Não
946475-111,Oposição,Liberado
946475-111,PP,Obstrução
946475-111,PROS,Não
946475-111,REPUBLICANOS,Obstrução
946475-111,NOVO,Não
946475-111,PL,Obstrução
946475-111,PTB,Não
946475-111,PSD,Obstrução
946475-111,DEM,Não
946475-111,PATRIOTA,Obstrução
946475-111,PSL,Não
946475-111,REDE,Não
946475-111,PSDB,Não
946475-111,PV,Não
946475-111,Minoria,Liberado
946475-111,AVANTE,Obstrução
946475-111,MDB,Não
946475-111,PT,Não
946475-111,PCdoB,Não
559138-237,PSB,
559138-237,Oposição,Sim
559138-237,Governo,Não
559138-237,Bl MdbPsdRepPode,Não
559138-237,Maioria,Não
559138-237,PL,Sim
559138-237,Fdr PT-PCdoB-PV,Não
559138-237,NOVO,Sim
559138-237,Bl UniPpFdrPsdbCid...,Não
559138-237,Minoria,Sim
559138-237,Fdr PSOL-REDE,Não
2324243-8,Minoria,Não
2324243-8,Maioria,Sim
2324243-8,PSB,Sim
2324243-8,Fdr PSOL-REDE,Sim
2324243-8,Governo,Sim
2324243-8,Bl MdbPsdRepPode,Sim
2324243-8,Bl UniPpFdrPsdbCid...,Sim
2324243-8,PL,Não
2324243-8,NOVO,Não
2324243-8,Oposição,Não
2324243-8,Fdr PT-PCdoB-PV,Sim
559138-241,PSB,
559138-241,PL,Sim
559138-241,Bl UniPpFdrPsdbCid...,Não
559138-241,NOVO,Sim
559138-241,Maioria,Não
559138-241,Oposição,Sim
559138-241,Minoria,Sim
559138-241,Governo,Não
559138-241,Bl MdbPsdRepPode,Não
559138-241,Fdr PSOL-REDE,Não
559138-241,Fdr PT-PCdoB-PV,Não
559138-221,Maioria,Não
559138-221,UNIÃO,Obstrução
559138-221,PSB,Não
559138-221,PODE,Não
559138-221,PL,Obstrução
559138-221,Minoria,Obstrução
559138-221,Oposição,Obstrução
559138-221,Governo,Não
559138-221,PDT,Não
559138-221,Fdr PT-PCdoB-PV,Não
559138-206,Maioria,Não
559138-206,Fdr PT-PCdoB-PV,Não
559138-206,Governo,Não
559138-206,NOVO,Obstrução
559138-206,PL,Sim
559138-206,Minoria,Obstrução
559138-206,UNIÃO,Sim
559138-191,Fdr PT-PCdoB-PV,Não
559138-191,UNIÃO,Sim
559138-191,PSD,Não
559138-191,Minoria,Sim
559138-191,PL,Sim
559138-191,MDB,Sim
559138-191,Oposição,Sim
559138-191,Governo,Não
559138-191,AVANTE,Não
559138-191,PP,Sim
559138-191,Fdr PSDB-CIDADAN,Não
559138-201,PL,Sim
559138-201,Minoria,Sim
