id_proposicao,codTema,tema,relevancia
2181447,44,Direitos Humanos e Minorias,0
2181447,72,Homenagens e Datas Comemorativas,0
2116186,72,Homenagens e Datas Comemorativas,0
2116186,56,Saúde,0
2236238,55,Relações Internacionais e Comércio Exterior,0
2077498,44,Direitos Humanos e Minorias,0
2077498,66,"Indústria, Comércio e Serviços",0
2077498,56,Saúde,0
593065,54,"Energia, Recursos Hídricos e Minerais",0
2236244,46,Educação,0
2236249,37,Comunicações,0
2236249,60,Turismo,0
2236222,44,Direitos Humanos e Minorias,0
2236222,52,Previdência e Assistência Social,0
2236252,34,Administração Pública,0
2236252,57,Defesa e Segurança,0
2236252,55,Relações Internacionais e Comércio Exterior,0
2236254,34,Administração Pública,0
2236254,57,Defesa e Segurança,0
2236254,55,Relações Internacionais e Comércio Exterior,0
2236223,34,Administração Pública,0
2236223,57,Defesa e Segurança,0
2236262,41,Cidades e Desenvolvimento Urbano,0
2236262,57,Defesa e Segurança,0
2236262,70,Finanças Públicas e Orçamento,0
2236262,48,Meio Ambiente e Desenvolvimento Sustentável,0
2236253,34,Administração Pública,0
2236253,57,Defesa e Segurança,0
2236253,55,Relações Internacionais e Comércio Exterior,0
2236259,34,Administração Pública,0
2236259,55,Relações Internacionais e Comércio Exterior,0
2236259,56,Saúde,0
2236270,46,Educação,0
2236261,40,Economia,0
2236261,58,Trabalho e Emprego,0
2236245,46,Educação,0
2236269,67,Direito e Defesa do Consumidor,0
2236269,40,Economia,0
2236247,55,Relações Internacionais e Comércio Exterior,0
2236250,34,Administração Pública,0
2236272,72,Homenagens e Datas Comemorativas,0
2236272,56,Saúde,0
2236251,34,Administração Pública,0
2236279,34,Administração Pública,0
2236280,34,Administração Pública,0
2236264,57,Defesa e Segurança,0
2236281,44,Direitos Humanos e Minorias,0
2236281,61,"Viação, Transporte e Mobilidade",0
2236282,35,"Arte, Cultura e Religião",0
2236282,72,Homenagens e Datas Comemorativas,0
2236273,56,Saúde,0
2236291,62,"Ciência, Tecnologia e Inovação",0
2236291,66,"Indústria, Comércio e Serviços",0
2236277,34,Administração Pública,0
2236277,62,"Ciência, Tecnologia e Inovação",0
2236277,46,Educação,0
2236293,41,Cidades e Desenvolvimento Urbano,0
2236293,40,Economia,0
2236278,34,Administração Pública,0
2236296,61,"Viação, Transporte e Mobilidade",0
2236284,37,Comunicações,0
2236284,67,Direito e Defesa do Consumidor,0
2236286,43,Direito Penal e Processual Penal,0
2236308,34,Administração Pública,0
2236308,46,Educação,0
2236292,56,Saúde,0
2236303,64,"Agricultura, Pecuária, Pesca e Extrativismo",0
2236303,66,"Indústria, Comércio e Serviços",0
2236295,62,"Ciência, Tecnologia e Inovação",0
2236295,40,Economia,0
2236295,70,Finanças Públicas e Orçamento,0
2236307,46,Educação,0
2236314,34,Administração Pública,0
2236314,55,Relações Internacionais e Comércio Exterior,0
2236315,61,"Viação, Transporte e Mobilidade",0
2236304,70,Finanças Públicas e Orçamento,0
2236320,34,Administração Pública,0
2236310,34,Administração Pública,0
2236310,54,"Energia, Recursos Hídricos e Minerais",0
2236323,34,Administração Pública,0
2236323,46,Educação,0
2236321,34,Administração Pública,0
2236311,34,Administração Pública,0
2236311,57,Defesa e Segurança,0
2236311,70,Finanças Públicas e Orçamento,0
2236313,46,Educação,0
2236330,61,"Viação, Transporte e Mobilidade",0
2236316,34,Administração Pública,0
2236316,56,Saúde,0
2236334,54,"Energia, Recursos Hídricos e Minerais",0
2236336,72,Homenagens e Datas Comemorativas,0
2236322,34,Administração Pública,0
2236322,57,Defesa e Segurança,0
2236337,41,Cidades e Desenvolvimento Urbano,0
2236324,34,Administração Pública,0
2236324,62,"Ciência, Tecnologia e Inovação",0
2236342,42,Direito Civil e Processual Civil,0
2236342,76,Direito e Justiça,0
2236343,44,Direitos Humanos e Minorias,0
2236343,56,Saúde,0
2236328,72,Homenagens e Datas Comemorativas,0
2236331,34,Administração Pública,0
2236331,61,"Viação, Transporte e Mobilidade",0
2236355,72,Homenagens e Datas Comemorativas,0
2236340,34,Administração Pública,0
2236340,62,"Ciência, Tecnologia e Inovação",0
2236344,34,Administração Pública,0
2236344,44,Direitos Humanos e Minorias,0
2236361,34,Administração Pública,0
2236365,67,Direito e Defesa do Consumidor,0
2236365,61,"Viação, Transporte e Mobilidade",0
2236367,56,Saúde,0
2236348,57,Defesa e Segurança,0
2236369,44,Direitos Humanos e Minorias,0
2236369,40,Economia,0
2236368,62,"Ciência, Tecnologia e Inovação",0
2236368,56,Saúde,0
2236370,35,"Arte, Cultura e Religião",0
2236370,44,Direitos Humanos e Minorias,0
2236370,56,Saúde,0
2236374,34,Administração Pública,0
2236374,44,Direitos Humanos e Minorias,0
2236374,52,Previdência e Assistência Social,0
2236371,44,Direitos Humanos e Minorias,0
2236371,66,"Indústria, Comércio e Serviços",0
2236371,56,Saúde,0
2236375,43,Direito Penal e Processual Penal,0
2236354,35,"Arte, Cultura e Religião",0
2236377,52,Previdência e Assistência Social,0
2236377,58,Trabalho e Emprego,0
2236376,57,Defesa e Segurança,0
2236376,43,Direito Penal e Processual Penal,0
2236376,44,Direitos Humanos e Minorias,0
2236380,46,Educação,0
2236378,42,Direito Civil e Processual Civil,0
2236381,42,Direito Civil e Processual Civil,0
2236379,44,Direitos Humanos e Minorias,0
2236379,70,Finanças Públicas e Orçamento,0
2236363,54,"Energia, Recursos Hídricos e Minerais",0
2236383,43,Direito Penal e Processual Penal,0
2236383,61,"Viação, Transporte e Mobilidade",0
2236385,34,Administração Pública,0
2236385,46,Educação,0
2236366,42,Direito Civil e Processual Civil,0
2236366,44,Direitos Humanos e Minorias,0
2236386,70,Finanças Públicas e Orçamento,0
2236386,52,Previdência e Assistência Social,0
2236386,58,Trabalho e Emprego,0
2236384,39,Esporte e Lazer,0
2236373,70,Finanças Públicas e Orçamento,0
2236373,61,"Viação, Transporte e Mobilidade",0
2236387,57,Defesa e Segurança,0
2236387,58,Trabalho e Emprego,0
2236390,70,Finanças Públicas e Orçamento,0
2236388,67,Direito e Defesa do Consumidor,0
2236388,54,"Energia, Recursos Hídricos e Minerais",0
2236388,70,Finanças Públicas e Orçamento,0
2236389,44,Direitos Humanos e Minorias,0
2236395,58,Trabalho e Emprego,0
2236395,61,"Viação, Transporte e Mobilidade",0
2236392,34,Administração Pública,0
2236392,44,Direitos Humanos e Minorias,0
2236392,56,Saúde,0
2236396,57,Defesa e Segurança,0
2236394,70,Finanças Públicas e Orçamento,0
2236394,61,"Viação, Transporte e Mobilidade",0
2236404,43,Direito Penal e Processual Penal,0
2236404,44,Direitos Humanos e Minorias,0
2236399,34,Administração Pública,0
2236399,37,Comunicações,0
2236413,66,"Indústria, Comércio e Serviços",0
2236403,34,Administração Pública,0
2236403,52,Previdência e Assistência Social,0
2236414,44,Direitos Humanos e Minorias,0
2236414,56,Saúde,0
2236400,57,Defesa e Segurança,0
2236426,67,Direito e Defesa do Consumidor,0
2236426,61,"Viação, Transporte e Mobilidade",0
2236415,39,Esporte e Lazer,0
2236415,72,Homenagens e Datas Comemorativas,0
2236402,43,Direito Penal e Processual Penal,0
2236402,44,Direitos Humanos e Minorias,0
2236423,54,"Energia, Recursos Hídricos e Minerais",0
2236423,70,Finanças Públicas e Orçamento,0
2236405,43,Direito Penal e Processual Penal,0
2236405,44,Direitos Humanos e Minorias,0
2236416,44,Direitos Humanos e Minorias,0
2236437,34,Administração Pública,0
2236437,52,Previdência e Assistência Social,0
2236441,44,Direitos Humanos e Minorias,0
2236441,61,"Viação, Transporte e Mobilidade",0
2236445,43,Direito Penal e Processual Penal,0
2236445,44,Direitos Humanos e Minorias,0
2236445,39,Esporte e Lazer,0
2236428,34,Administração Pública,0
2236428,54,"Energia, Recursos Hídricos e Minerais",0
2236429,61,"Viação, Transporte e Mobilidade",0
2236456,34,Administração Pública,0
2236456,57,Defesa e Segurança,0
2236456,43,Direito Penal e Processual Penal,0
2236458,57,Defesa e Segurança,0
2236458,43,Direito Penal e Processual Penal,0
2236461,57,Defesa e Segurança,0
2236461,43,Direito Penal e Processual Penal,0
2236461,44,Direitos Humanos e Minorias,0
2236459,34,Administração Pública,0
2236459,57,Defesa e Segurança,0
2236459,58,Trabalho e Emprego,0
2236447,35,"Arte, Cultura e Religião",0
2236447,72,Homenagens e Datas Comemorativas,0
2236460,34,Administração Pública,0
2236460,57,Defesa e Segurança,0
2236460,58,Trabalho e Emprego,0
2236468,34,Administração Pública,0
2236468,44,Direitos Humanos e Minorias,0
2236468,52,Previdência e Assistência Social,0
2236463,46,Educação,0
2236473,39,Esporte e Lazer,0
2236455,57,Defesa e Segurança,0
2236465,72,Homenagens e Datas Comemorativas,0
2236465,56,Saúde,0
2236471,41,Cidades e Desenvolvimento Urbano,0
2236471,44,Direitos Humanos e Minorias,0
2236457,34,Administração Pública,0
2236457,44,Direitos Humanos e Minorias,0
2236457,56,Saúde,0
2236457,58,Trabalho e Emprego,0
2236474,39,Esporte e Lazer,0
2236462,57,Defesa e Segurança,0
2236462,43,Direito Penal e Processual Penal,0
2236462,44,Direitos Humanos e Minorias,0
2236482,43,Direito Penal e Processual Penal,0
2236482,44,Direitos Humanos e Minorias,0
2236469,55,Relações Internacionais e Comércio Exterior,0
2236479,56,Saúde,0
2236476,53,Processo Legislativo e Atuação Parlamentar,0
2236483,44,Direitos Humanos e Minorias,0
2236483,56,Saúde,0
2236484,48,Meio Ambiente e Desenvolvimento Sustentável,0
2236490,35,"Arte, Cultura e Religião",0
2236490,39,Esporte e Lazer,0
2236490,70,Finanças Públicas e Orçamento,0
2236494,56,Saúde,0
2236487,44,Direitos Humanos e Minorias,0
2236487,39,Esporte e Lazer,0
2236487,56,Saúde,0
2236498,46,Educação,0
2236498,56,Saúde,0
2236492,34,Administração Pública,0
2236492,44,Direitos Humanos e Minorias,0
2236492,70,Finanças Públicas e Orçamento,0
2236501,46,Educação,0
2236499,34,Administração Pública,0
2236499,51,Estrutura Fundiária,0
2236508,34,Administração Pública,0
2236508,41,Cidades e Desenvolvimento Urbano,0
2236508,61,"Viação, Transporte e Mobilidade",0
2236505,67,Direito e Defesa do Consumidor,0
2236505,66,"Indústria, Comércio e Serviços",0
2236513,57,Defesa e Segurança,0
2236513,40,Economia,0
2236506,46,Educação,0
2236560,34,Administração Pública,0
2236550,44,Direitos Humanos e Minorias,0
2236562,34,Administração Pública,0
2236562,70,Finanças Públicas e Orçamento,0
2236562,61,"Viação, Transporte e Mobilidade",0
2236559,43,Direito Penal e Processual Penal,0
2236559,40,Economia,0
2236559,55,Relações Internacionais e Comércio Exterior,0
2236563,40,Economia,0
2236563,66,"Indústria, Comércio e Serviços",0
2236564,67,Direito e Defesa do Consumidor,0
2236564,40,Economia,0
2236564,66,"Indústria, Comércio e Serviços",0
2236573,34,Administração Pública,0
2236573,54,"Energia, Recursos Hídricos e Minerais",0
2236574,34,Administração Pública,0
2236574,54,"Energia, Recursos Hídricos e Minerais",0
2236576,34,Administração Pública,0
2236576,44,Direitos Humanos e Minorias,0
2236576,46,Educação,0
2236576,56,Saúde,0
2236575,34,Administração Pública,0
2236575,54,"Energia, Recursos Hídricos e Minerais",0
2236578,44,Direitos Humanos e Minorias,0
2236578,56,Saúde,0
2236579,40,Economia,0
2236579,70,Finanças Públicas e Orçamento,0
2236579,55,Relações Internacionais e Comércio Exterior,0
2236577,57,Defesa e Segurança,0
2236577,44,Direitos Humanos e Minorias,0
2236580,34,Administração Pública,0
2236587,67,Direito e Defesa do Consumidor,0
2236587,54,"Energia, Recursos Hídricos e Minerais",0
2236587,70,Finanças Públicas e Orçamento,0
2236587,48,Meio Ambiente e Desenvolvimento Sustentável,0
2236584,66,"Indústria, Comércio e Serviços",0
2236584,56,Saúde,0
2236584,58,Trabalho e Emprego,0
2236591,54,"Energia, Recursos Hídricos e Minerais",0
2236591,48,Meio Ambiente e Desenvolvimento Sustentável,0
2236585,44,Direitos Humanos e Minorias,0
2236585,70,Finanças Públicas e Orçamento,0
2236592,34,Administração Pública,0
2236592,56,Saúde,0
2236597,57,Defesa e Segurança,0
2236597,44,Direitos Humanos e Minorias,0
2236597,61,"Viação, Transporte e Mobilidade",0
2236588,72,Homenagens e Datas Comemorativas,0
2236598,64,"Agricultura, Pecuária, Pesca e Extrativismo",0
2236602,41,Cidades e Desenvolvimento Urbano,0
2236602,66,"Indústria, Comércio e Serviços",0
2236594,34,Administração Pública,0
2236594,56,Saúde,0
2236603,46,Educação,0
2236596,34,Administração Pública,0
2236596,35,"Arte, Cultura e Religião",0
2236596,39,Esporte e Lazer,0
2236609,34,Administração Pública,0
2236609,48,Meio Ambiente e Desenvolvimento Sustentável,0
2236612,43,Direito Penal e Processual Penal,0
2236599,54,"Energia, Recursos Hídricos e Minerais",0
2236607,43,Direito Penal e Processual Penal,0
2236607,61,"Viação, Transporte e Mobilidade",0
2236618,43,Direito Penal e Processual Penal,0
2236610,64,"Agricultura, Pecuária, Pesca e Extrativismo",0
2236610,40,Economia,0
2236610,51,Estrutura Fundiária,0
2236610,48,Meio Ambiente e Desenvolvimento Sustentável,0
2236623,34,Administração Pública,0
2236623,46,Educação,0
2236625,41,Cidades e Desenvolvimento Urbano,0
2236625,40,Economia,0
2236617,34,Administração Pública,0
2236617,52,Previdência e Assistência Social,0
2236626,34,Administração Pública,0
2236626,56,Saúde,0
2236611,57,Defesa e Segurança,0
2236619,64,"Agricultura, Pecuária, Pesca e Extrativismo",0
2236619,66,"Indústria, Comércio e Serviços",0
2236628,34,Administração Pública,0
2236637,43,Direito Penal e Processual Penal,0
2236620,34,Administração Pública,0
2236620,41,Cidades e Desenvolvimento Urbano,0
2236620,70,Finanças Públicas e Orçamento,0
2236630,42,Direito Civil e Processual Civil,0
2236630,56,Saúde,0
2236621,34,Administração Pública,0
2236621,41,Cidades e Desenvolvimento Urbano,0
2236640,34,Administração Pública,0
2236640,41,Cidades e Desenvolvimento Urbano,0
2236640,40,Economia,0
2236645,44,Direitos Humanos e Minorias,0
2236645,56,Saúde,0
2236656,44,Direitos Humanos e Minorias,0
2236656,46,Educação,0
2236656,70,Finanças Públicas e Orçamento,0
2236656,58,Trabalho e Emprego,0
2236648,34,Administração Pública,0
2236648,54,"Energia, Recursos Hídricos e Minerais",0
2236624,41,Cidades e Desenvolvimento Urbano,0
2236658,61,"Viação, Transporte e Mobilidade",0
2236627,41,Cidades e Desenvolvimento Urbano,0
2236627,52,Previdência e Assistência Social,0
2236659,34,Administração Pública,0
2236659,61,"Viação, Transporte e Mobilidade",0
2236629,34,Administração Pública,0
2236662,40,Economia,0
2236667,37,Comunicações,0
2236667,57,Defesa e Segurança,0
2236667,56,Saúde,0
2236636,41,Cidades e Desenvolvimento Urbano,0
2236636,57,Defesa e Segurança,0
2236666,67,Direito e Defesa do Consumidor,0
2236666,40,Economia,0
2236668,46,Educação,0
2236668,58,Trabalho e Emprego,0
2236638,74,"Política, Partidos e Eleições",0
2236670,76,Direito e Justiça,0
2236670,44,Direitos Humanos e Minorias,0
2236670,55,Relações Internacionais e Comércio Exterior,0
2236677,34,Administração Pública,0
2236677,56,Saúde,0
2236649,34,Administração Pública,0
2236649,48,Meio Ambiente e Desenvolvimento Sustentável,0
2236649,61,"Viação, Transporte e Mobilidade",0
2236686,57,Defesa e Segurança,0
2236652,34,Administração Pública,0
2236661,52,Previdência e Assistência Social,0
2236661,56,Saúde,0
2236671,34,Administração Pública,0
2236671,57,Defesa e Segurança,0
2236709,34,Administração Pública,0
2236709,40,Economia,0
2236709,58,Trabalho e Emprego,0
2236672,56,Saúde,0
2236715,44,Direitos Humanos e Minorias,0
2236715,56,Saúde,0
2236674,34,Administração Pública,0
2236674,40,Economia,0
2236674,70,Finanças Públicas e Orçamento,0
2236674,52,Previdência e Assistência Social,0
2236713,56,Saúde,0
2236713,58,Trabalho e Emprego,0
2236716,74,"Política, Partidos e Eleições",0
2236675,34,Administração Pública,0
2236676,67,Direito e Defesa do Consumidor,0
2236676,61,"Viação, Transporte e Mobilidade",0
2236717,35,"Arte, Cultura e Religião",0
2236717,44,Direitos Humanos e Minorias,0
2236717,66,"Indústria, Comércio e Serviços",0
2236726,43,Direito Penal e Processual Penal,0
